Date,AGT,AD,WEED,CSH.UN,CSU,DOL,H,KXS,MFI,NPI,PKI,RY,SU,SPB,TCS,TVK,X,ZYME,Market,RiskFree
4/28/2014,0.431852833,0.410508073,-0.401197605,0.236152097,0.941679401,0.555326002,NA,NA,0.227411717,0.07826174,0.366429549,0.158964183,-0.013048166,0.15015112,0.504200691,-0.029655057,-0.003339425,NA,0.240913144,1.784
4/29/2014,0.484108571,0.413208716,-0.404833837,0.227060436,1.01268383,0.555842032,NA,NA,0.25419582,0.085912667,0.384957456,0.154822118,-0.038139532,0.125760956,0.507658555,-0.041233942,-0.006195786,NA,0.247720537,1.793
4/30/2014,0.48978241,0.360603651,-0.396396396,0.218338248,0.973829868,0.564801072,NA,NA,0.290807904,0.072250209,0.362967672,0.13729182,-0.045197345,0.108657547,0.460791981,-0.025206057,-0.040453525,NA,0.235524604,1.748
5/1/2014,0.472749306,0.34511464,-0.375,0.220347895,0.873165879,0.546938929,NA,NA,0.275996811,0.051374499,0.319261359,0.142417233,-0.054675216,0.105953332,0.502718637,-0.033173894,-0.033594793,NA,0.223972974,1.748
5/2/2014,0.464096746,0.357717611,-0.339933993,0.215322449,0.857987133,0.559116685,NA,NA,0.267546973,0.047822181,0.327376447,0.141353102,-0.070718004,0.066246762,0.51288927,-0.027269566,-0.021645482,NA,0.223860554,1.733
5/5/2014,0.429687607,0.275610943,-0.367412141,0.171889021,0.944598304,0.557615335,NA,NA,0.287462887,0.053249778,0.302571712,0.131109217,-0.08582433,0.10046192,0.440245623,0.018913677,-0.020422482,NA,0.215983805,1.728
5/6/2014,0.445183915,0.266824464,-0.401840491,0.164472492,1.030262447,0.58391308,NA,NA,0.269444489,0.03010944,0.303617991,0.125118946,-0.123341123,0.086002746,0.388381419,0.050650503,-0.031856518,NA,0.21246292,1.709
5/7/2014,0.509602959,0.219403335,-0.399380805,0.149855944,1.023071128,0.603418388,NA,NA,0.258057309,0.032689705,0.2636524,0.119732484,-0.133501639,0.087994529,0.427638188,0.045820835,-0.031604578,NA,0.211763345,1.683
5/8/2014,0.527343086,0.249100907,-0.377358491,0.16480894,1.064685453,0.617284111,NA,NA,0.284718791,0.03482311,0.267285727,0.122861115,-0.104530877,0.080113141,0.443756604,0.035876403,-0.025423936,NA,0.225689606,1.651
5/9/2014,0.498516131,0.232329232,-0.367741935,0.162264145,1.037539693,0.59406879,NA,NA,0.322060479,0.04868619,0.276829188,0.124870026,-0.102005321,0.07292068,0.414105901,0.013869646,-0.016500068,NA,0.220787518,1.651
5/12/2014,0.459017289,0.230234185,-0.34,0.135781184,1.02178381,0.567295812,NA,NA,0.303079447,0.032767189,0.278198916,0.111783236,-0.125215677,0.056670729,0.476383561,0.012333416,-0.063377196,NA,0.21044906,1.666
5/13/2014,0.446113771,0.229930236,-0.331034483,0.116065013,0.988677807,0.589679429,NA,NA,0.29682523,0.020374116,0.282259557,0.107076088,-0.137073412,0.063531982,0.456159398,0.098767939,-0.066207126,NA,0.210743036,1.64
5/14/2014,0.488257363,0.211502824,-0.260223048,0.125185955,1.047913871,0.612737859,NA,NA,0.329791771,0.002084909,0.306287085,0.114194645,-0.13363702,0.058201574,0.478999721,0.096881576,-0.065621883,NA,0.227503813,1.657
5/15/2014,0.54911505,0.213776066,-0.336769759,0.138142953,1.094211384,0.622840796,NA,NA,0.356097234,0.020199202,0.337097756,0.117646814,-0.123083796,0.096245982,0.462705127,0.100465821,-0.04380298,NA,0.240325843,1.715
5/16/2014,0.599213011,0.215841951,-0.31294964,0.127623391,1.117591247,0.597020504,NA,NA,0.364402234,0.005636286,0.322973448,0.141847644,-0.119072672,0.084629368,0.427741105,0.116891125,-0.058197128,NA,0.242079458,1.717
5/20/2014,0.596682694,0.230781488,-0.307971014,0.107772021,1.197677826,0.626170137,NA,NA,0.37585487,0.013337255,0.347501375,0.126202921,-0.112245554,0.075370102,0.426555842,0.152348057,-0.058188875,NA,0.253189943,1.711
5/21/2014,0.625159026,0.201670082,-0.281481481,0.117972958,1.129382546,0.584974625,NA,NA,0.371429624,0.009068063,0.331222223,0.123474515,-0.10933803,0.073020847,0.408242875,0.132010647,-0.069111005,NA,0.243179834,1.702
5/22/2014,0.619324184,0.230544936,-0.279850746,0.12897329,1.118090509,0.570654933,NA,NA,0.369041812,-0.00093678,0.30754014,0.106468289,-0.101997562,0.053580453,0.396100675,0.12851138,-0.084588801,NA,0.237430447,1.687
